SurveyPointId,Easting,Northing,AtBlckGlz,Balearic,CamBlckGlzA,CamBlckGlzB,CmedPuAm,EbBlckGlz,EbPuAm,EbPuCom,GrItAm,IbAm,IbCom,ItAm,ItCom,MasAm,PuAm,PuCom,SoItVesCaAm,Biclst,dbscan
160870-71-502,530501.86,4388790.96,0.0,0.0,0.0,0.0,0.0,0.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7
160870-80-506,530464.14,4388783.49,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7
160870-82-504,530467.24,4388803.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,3,7
160880-71-201,530354.94,4388864.52,0.0,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1
160890-74-101,530439.89,4388862.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,0,7
160890-74-103,530431.07,4388879.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,0,7
160910-80-004,530307.52,4388925.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0,-1
160910-82-003,530302.94,4388932.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.3,0.0,0.0,0.0,0.0,38.0,0,-1
16094a-37-204,530734.47,4388293.45,0.0,0.0,0.0,0.0,0.0,0.0,26.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1
16094b-05-303,530828.52,4388450.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8
16094b-05-306,530794.31,4388442.49,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0,0.0,0.0,0.0,118.3,0.0,0.0,0.0,0.0,0.0,0,8
16094b-14-001,530792.13,4388464.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.52,0,8
16094b-14-002,530793.23,4388469.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.06,0.0,0.0,0.0,207.4,0.0,0.0,0.0,0.0,0.0,0,8
16094b-14-003,530789.24,4388480.35,0.0,0.0,0.0,0.0,0.0,0.0,46.1,8.5,0.0,0.0,0.0,85.3,0.0,0.0,0.0,0.0,17.3,0,8
16094b-14-004,530790.4,4388490.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.92999999999998,0.0,0.0,0.0,0.0,14.49,0,8
16094b-14-301,530892.75,4388428.71,0.0,0.0,0.0,0.0,0.0,0.0,43.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8
16094b-14-302,530891.6,4388436.03,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8
16094b-14-303,530899.39,4388441.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.34,0.0,0.0,0.0,0.0,0.0,0,8
16094b-14-305,530888.57,4388464.99,0.0,0.0,0.0,0.0,0.0,0.0,27.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8
16094b-14-306,530890.43,4388473.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.3,5.1,0.0,0.0,0.0,103.6,0,8
16094b-14-310,530787.46,4388452.26,0.0,0.0,0.0,0.0,0.0,0.0,66.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8
16094b-33-309,530839.4,4388508.85,0.0,0.0,0.0,0.0,0.0,0.0,8.6,13.000000000000002,0.0,0.0,0.0,0.0,9.05,0.0,0.0,0.0,0.0,0,8
16094b-34-101,530781.13,4388468.44,0.0,0.0,0.0,0.0,0.0,0.0,14.7,9.3,0.0,0.0,0.0,13.8,0.0,0.0,0.0,0.0,151.0,0,8
