SurveyPointId,Easting,Northing,Amphora,Coarseware,Commonware,Fineware
16094b-42-301,530873.96,4388428.97,1.0,0.0,0.0,0.0
16094b-42-302,530872.47,4388436.62,1.0,0.0,0.0,0.0
16094b-42-303,530868.58,4388442.38,1.0,0.0,0.0,0.0
16094b-42-305,530870.47,4388464.14,1.0,0.0,1.0,0.0
16094b-42-307,530870.39,4388483.45,1.0,0.0,0.0,0.0
16094b-42-308,530867.86,4388494.2,1.0,0.0,0.0,0.0
16094b-42-309,530866.98,4388500.86,1.0,0.0,0.0,0.0
16094b-43-107,530771.05,4388394.48,1.0,0.0,0.0,0.0
16094b-44-101,530762.27,4388464.7,0.0,0.0,1.0,0.0
16094b-44-104,530751.52,4388429.37,1.0,0.0,0.0,0.0
16094b-44-107,530880.96,4388329.0,0.0,0.0,0.59,0.0
16094b-44-108,530884.35,4388339.67,1.0,0.0,0.0,0.0
16094b-44-110,530849.03,4388290.25,1.0,0.0,0.0,0.0
16094b-44-301,530902.35,4388432.08,1.0,0.0,0.0,0.0
16094b-44-303,530904.24,4388450.73,1.0,0.0,0.0,0.0
16094b-44-307,530900.04,4388493.11,1.0,0.0,0.0,0.0
16094b-46-101,530751.47,4388462.11,1.0,0.0,0.0,0.0
16094b-46-102,530753.58,4388470.44,1.0,0.0,1.0,0.0
16094b-46-108,530903.21,4388323.32,1.0,0.0,0.0,0.0
16094b-46-303,530921.06,4388450.02,1.0,0.0,0.0,0.0
16094b-46-310,530816.4,4388445.83,1.0,0.0,0.0,0.0
16094b-46-311,530818.43,4388453.72,1.0,0.0,0.0,0.0
16094b-46-320,530816.91,4388490.23,1.0,0.0,0.0,0.0
16094b-46-321,530819.63,4388498.01,1.0,0.0,0.0,0.0
16094b-46-324,530830.5,4388525.91,0.0,0.0,1.0,0.0
16094b-47-307,530826.52,4388425.56,1.0,0.0,0.0,0.0
16094b-47-313,530828.1,4388502.15,1.0,0.0,0.0,0.0
16094b-47-316,530850.62,4388514.11,1.0,0.0,1.0,0.0
16094b-48-101,530800.07,4388474.62,1.0,0.0,0.0,0.0
16094b-48-102,530801.15,4388482.84,1.0,0.0,0.0,0.0
16094e-01-004,530997.5092,4388216.372,1.0,0.0,0.0,0.0
16094e-01-118,530955.9085,4388366.549,0.0,1.0,0.0,0.0
16094e-01-129,531003.1521,4388287.843,1.0,0.0,0.0,0.0
16094e-06-101,531008.1013,4388475.229,1.0,0.0,0.0,0.0
16094e-06-112,530952.3736,4388405.058,0.0,0.0,1.0,0.0
16094e-07-002,531002.9328,4388267.283,0.0,0.0,1.0,0.0
16094e-08-106,530946.0891,4388438.792,1.0,0.0,0.0,0.0
16094e-08-110,530976.1566,4388372.966,0.0,0.0,0.0,1.0
16094e-13-012,531014.7681,4388255.952,1.0,0.0,0.0,0.0
16094e-13-106,530952.2454,4388449.506,0.0,0.0,1.0,0.0
16094f-34-204,531017.86,4387978.72,0.0,0.0,1.0,0.0
161000-14-009,530846.75,4388774.25,1.0,0.0,0.0,0.0
161000-14-016,530932.68,4388826.42,0.0,0.0,1.0,0.0
161000-53-012,530941.53,4388801.04,1.0,0.0,0.0,0.0
161000-55-001,530972.39,4388765.98,1.0,0.0,0.0,0.0
161000-55-002,530975.69,4388756.01,1.0,0.0,0.0,0.0
161000-55-110,531005.23,4388897.97,0.0,0.0,1.0,0.0
161000-55-121,531052.92,4388839.11,1.0,0.0,0.0,0.0
161000-57-015,530875.05,4388819.86,0.0,0.0,1.0,0.0
161000-57-111,530973.16,4388917.04,1.0,0.0,0.0,0.0
161000-61-005,530980.69,4388728.72,1.0,0.0,0.0,0.0
161000-61-006,530897.68,4388738.94,1.0,0.0,0.0,0.0
161000-61-007,530903.3,4388729.3,1.0,0.0,1.0,0.0
161000-61-008,530909.0,4388719.0,0.0,0.0,1.0,0.0
161000-62-122,531072.54,4388761.17,0.0,0.0,1.0,0.0
161060-53-211,530700.66,4388745.81,1.0,0.0,0.0,0.0
161070-14-304,530685.08,4388845.41,0.0,0.0,1.0,0.0
161070-14-306,530675.39,4388864.68,1.0,0.0,0.0,0.0
161070-55-303,530657.92,4388814.22,1.0,0.0,0.0,0.0
161070-58-301,530708.47,4388831.52,1.0,0.0,0.0,0.0
161080-68-103,530668.22,4388941.57,1.0,0.0,0.0,0.0
161100-13-001,530585.66,4389083.22,1.0,0.0,0.0,0.0
161100-13-002,530589.51,4389072.92,1.0,0.0,0.0,0.0
161100-13-004,530597.57,4389055.58,1.0,0.0,0.0,0.0
161100-13-005,530597.91,4389045.74,1.0,0.0,1.0,0.0
161100-13-009,530616.7,4389003.8,1.0,0.0,0.0,0.0
161100-14-001,530557.9,4389090.74,1.0,0.0,0.0,0.0
161100-14-002,530561.02,4389081.87,1.0,0.0,1.0,0.0
161100-14-003,530557.29,4389071.87,1.0,0.0,0.0,0.0
161100-14-005,530565.1,4389049.15,1.0,0.0,0.0,0.0
161100-14-006,530569.44,4389037.18,0.0,0.0,1.0,0.0
161100-50-009,530610.19,4388985.41,1.0,0.0,0.0,0.0
161100-51-004,530587.46,4389056.89,1.0,0.0,0.0,0.0
161100-51-005,530587.41,4389047.12,1.0,0.0,0.0,0.0
161100-68-001,530570.17,4389089.12,1.0,0.0,0.0,0.0
161100-69-002,530593.44,4389084.0,1.0,0.0,0.0,0.0
161100-69-003,530597.02,4389069.69,1.0,0.0,0.0,0.0
161110-50-201,530613.49,4389085.17,0.0,0.0,1.0,0.0
161110-50-202,530560.37,4389095.87,1.0,0.0,1.0,0.0
161110-50-203,530561.98,4389106.9,1.0,0.0,1.0,0.0
161110-50-204,530558.19,4389114.26,1.0,0.0,0.0,0.0
161110-51-201,530593.43,4389088.32,1.0,0.0,0.0,0.0
161110-52-201,530584.25,4389088.95,1.0,0.0,1.0,0.0
161110-59-301,530570.59,4389092.9,1.0,1.0,1.0,0.0
161110-59-303,530574.46,4389111.78,1.0,0.0,1.0,0.0
16127a-01-001,530396.6,4388613.9,1.0,1.0,0.0,0.0
16127a-01-002,530399.9,4388568.3,1.0,1.0,0.0,0.0
16127a-01-003,530403.2,4388548.4,1.0,0.0,0.0,0.0
16127a-01-005,530406.0,4388639.6,1.0,0.0,0.0,0.0
16127a-01-007,530395.7,4388631.5,1.0,0.0,0.0,0.0
16127a-01-009,530413.8,4388605.8,1.0,1.0,0.0,0.0
16127a-01-010,530405.7,4388590.1,1.0,0.0,0.0,0.0
16127a-01-016,530352.1,4388555.9,0.0,1.0,0.0,0.0
16127a-01-017,530346.3,4388556.2,1.0,0.0,0.0,0.0
16127a-01-018,530331.9,4388566.0,1.0,1.0,1.0,0.0
16127a-01-020,530330.8,4388573.3,1.0,0.0,1.0,0.0
16127a-01-021,530327.0,4388581.0,1.0,1.0,0.0,0.0
16127a-03-001,530414.0,4388595.3,1.0,0.0,0.0,0.0
